s,-1.538971,1.0539223,-0.9267993,-0.46610823,0.08367073,-0.17626828,0.5822264,0.16898823,-0.42876756,0.44143668,0.15690799,0.3226505,-0.1648011,-0.48188972,0.22408935,1.5802392,0.25559548,-0.23142467,0.66817194,-0.40082955,0.30565685,-0.30622402,-0.98401976,0.30092004,1.0388792,0.8881827,-0.54730743,-0.4338681,0.69420916,-0.21159521,2.0552313,0.10346324
A,-0.031339627,0.5583464,0.3573617,-0.103649266,-0.71404034,0.94906956,0.4024761,-0.5516077,1.555159,-0.43097812,0.35426232,1.8023356,-2.4191284,0.17166276,-0.28124458,0.45732188,0.95639634,0.33985782,-0.035874397,-0.7170727,0.52184695,0.95061386,-0.97841454,-0.6454637,1.4582092,0.78322005,0.28097072,-1.0438975,0.32326004,-0.009047259,0.8268872,-0.28505093
C,-1.1306701,0.5671223,1.1638829,0.21127842,0.55552924,-1.0266511,0.15990631,0.75339836,1.2866658,0.1711742,1.3167531,-0.68268913,-1.8212085,-0.5470456,0.5539034,1.268538,0.89915866,1.5043775,1.1992573,0.97222835,-1.1338178,0.30084932,-1.5306795,-1.8622577,-0.13752684,0.5383706,0.3083126,0.6339301,0.7570954,-0.9172187,0.58759576,-0.13191473
D,-0.9737522,0.06825612,0.0459933,0.6575757,0.60942334,-0.25745726,-0.07129603,-1.695895,1.1647627,-0.25204998,-0.4481412,0.92531484,-0.54853326,0.008956413,0.35774,-0.410701,-0.18820512,0.6131281,-2.8125706,0.6918334,0.33854875,0.3028216,-1.0688467,0.30948347,1.6225383,-0.04849797,1.0290247,0.6569512,-0.055866707,-1.5930501,0.17982009,0.39285177
E,1.6967963,-1.1110196,0.62424034,1.0365205,-0.5245401,-1.5496333,1.7421302,1.0945413,-0.0981921,-1.3885977,-0.70450914,0.77199304,-0.29254425,-0.6543396,-0.99569356,0.2010213,-1.0080004,-0.5013608,-0.10697372,0.84855646,-0.8348044,-0.8171107,0.8860612,-0.5680719,-1.1051775,0.49907652,-0.77819854,0.5517526,1.219241,0.6661882,0.21709995,-0.4150491
F,-1.5912763,0.45044905,-0.8558327,-0.4539704,0.015586485,0.9583268,-1.2193959,-0.3645508,-1.1189362,0.46259788,0.8829954,0.52417415,0.6692746,0.37985322,1.2498091,0.04970493,0.78211206,0.36108747,-0.9177552,0.42736843,0.27003035,0.13253526,-0.15763043,1.2927763,-0.9195175,-1.0323828,0.72205496,-0.5609292,-0.97623384,0.20891549,-1.4874666,0.40613598
G,-0.2656446,0.124505706,-1.1092578,0.46370086,-1.1431053,-0.70008314,-1.9387375,0.3015934,1.089335,0.11049215,0.60695624,1.4947591,-0.55710727,-0.68886745,-0.4322295,-1.0722132,-0.061709553,0.4155559,0.12406926,0.96794647,-0.32579815,-0.051035,-0.007183404,-0.379221,-2.3889287,-0.30841088,0.53744256,0.37726122,0.6888414,-0.23693171,-1.1119256,-0.40257475
H,1.491441,0.58307683,-0.16735797,0.8046814,0.41209444,-1.4549017,0.46140346,1.8847405,-1.2324854,-0.009945569,-1.1782819,1.3565531,0.32136273,0.1237434,1.3944063,0.13510385,-1.9101682,-0.20237318,-1.2867541,1.0008706,-1.6186318,-1.5313033,1.6534195,0.03915544,0.6356225,-1.9529113,1.2798259,1.1485752,-1.785844,0.9035734,-0.7632938,-0.5819065
I,-1.8503182,1.0085717,-1.8535833,-0.9431215,-0.986992,-1.7139722,0.16553774,-0.49970493,-1.219416,0.17311826,-1.054583,0.16820051,-1.8879706,0.7298679,-0.46288046,-0.97650635,-0.04769598,1.4279796,0.37859824,1.0808591,0.64183587,-0.6467489,-0.51016563,0.13174717,-0.065276586,-0.45922256,-0.3592299,-0.08467724,-1.7369391,0.39216614,0.24095128,0.60907745
K,-1.1725233,-0.415375,-1.1734816,2.4004812,-0.74060386,0.13133138,-1.7991921,1.09414,1.00827,0.8597242,-0.2544394,-0.6449885,-0.74198455,1.3817558,1.0208591,0.58968043,0.36012596,-1.8305944,-0.9283845,-0.01036149,0.8815816,0.20510854,-1.1186615,-1.1177897,-0.44395813,-0.9554031,-0.27697188,-2.1676123,1.0297076,-0.74387676,0.8356354,0.011765893
